created_at,id,text_raw,source
Fri Dec 13 12:35:38 +0800 2024,5.1111E+15,破站搜【宇宙机器人】，看TGA颁奖回放及各大UP主解析,来自福建
Fri Dec 13 12:04:46 +0800 2024,5.11109E+15,真是抽象到家了 哈哈哈哈哈 最搞笑的结局[doge][doge],来自河南
Fri Dec 13 12:45:48 +0800 2024,5.1111E+15,要是说18年不给大表哥  有点理由  但不多， 今年这么一弄 直接摊牌了不演了属于,来自山东
Fri Dec 13 12:18:54 +0800 2024,5.1111E+15,太可怕了，猴粉要去网暴机器人粉丝了，但他们找不到机器人粉丝,来自广东
Fri Dec 13 12:04:17 +0800 2024,5.11109E+15,还不如选《小丑牌》。,来自山东
Fri Dec 13 12:06:06 +0800 2024,5.11109E+15,已知机器人拿了年度，马力欧没有年度，那机器人一定比马力欧好玩吧[嘻嘻],来自广东
Fri Dec 13 12:07:00 +0800 2024,5.11109E+15,tga证明了自己的含金量[可爱],来自天津
Fri Dec 13 12:05:41 +0800 2024,5.11109E+15,太抽象了，全屏问号。。前面各种叠甲的时候还以为是暗示法环DLC，结果蹦出个小机器人 http://t.cn/A6mRvAZB,来自江苏
Fri Dec 13 12:05:21 +0800 2024,5.11109E+15,sony充了多少钱?,来自中国香港
Fri Dec 13 12:13:35 +0800 2024,5.11109E+15,今年确实是小年确实选择困难 但这基本是选了一个最不服众的[笑cry]太幽默了,来自北京
Fri Dec 13 12:13:51 +0800 2024,5.11109E+15,图片评论 http://t.cn/A6mRvpVt,来自江苏
Fri Dec 13 12:10:45 +0800 2024,5.11109E+15,Tga最后一届了，索没打钱我是不信的,来自云南
Fri Dec 13 12:13:37 +0800 2024,5.11109E+15,a or b选了个 or,来自四川
Fri Dec 13 12:05:02 +0800 2024,5.11109E+15,不如星鸣特工,来自浙江
Fri Dec 13 12:20:57 +0800 2024,5.1111E+15,图片评论 http://t.cn/A6mRvFBb,来自四川
Fri Dec 13 12:11:54 +0800 2024,5.11109E+15,输别的是可惜，输这个 是可笑了,来自江苏
Fri Dec 13 12:03:36 +0800 2024,5.11109E+15,拉（指tga）,来自湖北
Fri Dec 13 12:18:37 +0800 2024,5.1111E+15,星鸣特攻还是死早了，但凡留着运营，哪怕到现在只有一个在线玩家，那也妥妥年度最佳。毕竟销量不重要，1个人玩也可以[二哈],来自山东
Fri Dec 13 12:14:09 +0800 2024,5.11109E+15,我是真不知道这个宇宙机器人有什么含金量，PC都没上的游戏，不配PS5手柄根本没感觉，但凡这个家庭游戏质量能有双人成行丰富我都不说什么[汗],来自新疆
Fri Dec 13 12:32:02 +0800 2024,5.1111E+15,你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？你们电脑能运行TGA年度最佳游戏吗？,来自北京
Fri Dec 13 12:50:51 +0800 2024,5.1111E+15,《 #败犬女主要年度了 》《胆大党牛逼》《迷宫饭其实也行》《我糙你的，奶龙是什么》,来自上海
Fri Dec 13 12:08:14 +0800 2024,5.11109E+15,牛逼，弹幕最多的打法[哈哈],来自广东
Fri Dec 13 12:03:44 +0800 2024,5.11109E+15,可惜咯,来自广东
Fri Dec 13 12:23:22 +0800 2024,5.1111E+15,Tencent也办一个吧 也能叫TGA,来自日本
Fri Dec 13 12:13:56 +0800 2024,5.11109E+15,TGA终生野鸡奖也算是实至名归了 当初给了美末2后帽子就摘不掉，现在是用膨胀螺丝焊死了[哈哈],来自湖北
Fri Dec 13 13:38:14 +0800 2024,5.11112E+15,《第一强国肯定是中国啊》《你硬要吹美国我也能理解吧》《说是印度有点逆天了》《握草利比里亚在哪儿》,来自北京
Fri Dec 13 12:18:35 +0800 2024,5.1111E+15,我记得小机器人刚出来的时候风向明明都说它要拿年度了 怎么真拿了一堆人还破防了,来自四川
Fri Dec 13 12:14:57 +0800 2024,5.11109E+15,不管选谁都会有一部分人不满意，那不如选个大家都不满意的[doge]属于是端水端不平，不如全撒了给大伙看个乐子了[二哈],来自山东
Fri Dec 13 13:54:45 +0800 2024,5.11112E+15,仿佛看到诺贝尔文学奖颁给了我家的洗衣机说明书,来自北京
Fri Dec 13 12:47:16 +0800 2024,5.1111E+15,年度最佳游戏：索尼手柄说明书 年度最佳运营：PSN绑定网游 最佳家庭游戏：索尼的单人游戏,来自广东
Fri Dec 13 12:12:47 +0800 2024,5.11109E+15,没毛病啊[doge]你看小机器人里面好多年度最佳的IP[doge]踩在别的年度最佳上拿个年度最佳，没问题吧[doge][doge][doge]这就叫“创意”,来自广东
Fri Dec 13 12:04:49 +0800 2024,5.11109E+15,给dlc都还好评价一点  难绷,来自山东
Fri Dec 13 12:27:48 +0800 2024,5.1111E+15,虚假的猴玩家：为什么不给黑神话！！真实的猴玩家：哈哈哈我为ff和法环鸣不平[哈哈],来自广西
Fri Dec 13 12:27:47 +0800 2024,5.1111E+15,TGA2024年度游戏公布的一刻，全世界游戏玩家都震撼到了，大家急忙问道：小机器人是哪个游戏？,来自陕西
Fri Dec 13 12:14:53 +0800 2024,5.11109E+15,真要硬塞索尼奖项也得早点给控制器使用指南，那个足够创新。给机器人也太搞笑了,来自浙江
Fri Dec 13 12:48:32 +0800 2024,5.1111E+15,针对小机器人获奖，猴环幻三个面面相觑，观众沸腾了，纷纷奔走相告：小机器人是谁？​,来自上海
Fri Dec 13 12:03:50 +0800 2024,5.11109E+15,拉,来自北京
Fri Dec 13 12:52:01 +0800 2024,5.1111E+15,TGA可以和IGN一个窝吃饭了[憧憬],来自广东
Fri Dec 13 12:31:48 +0800 2024,5.1111E+15,与其得罪一家 我不如把你们全得罪了[doge][doge],来自河南
Fri Dec 13 12:17:33 +0800 2024,5.11109E+15,逆天，最短流程最贵售价遮沙避风了,来自天津
Fri Dec 13 12:21:59 +0800 2024,5.1111E+15,没发现今年ubi一个播片都没，明年怕是真的要似了[吃瓜],来自安徽
Fri Dec 13 12:14:42 +0800 2024,5.11109E+15,《转人工》,来自上海
Fri Dec 13 12:31:45 +0800 2024,5.1111E+15,比起dlc，他们选择颁奖给一个游戏demo[doge],来自陕西
Fri Dec 13 12:56:59 +0800 2024,5.1111E+15,[二哈][二哈] http://t.cn/A6mR7fYZ,来自辽宁
Fri Dec 13 12:38:55 +0800 2024,5.1111E+15,因为这个奖是机器人评的啊[笑cry],来自广东
Fri Dec 13 12:26:06 +0800 2024,5.1111E+15,黑猴→zz  FF7→重置  暗喻幻想→差点意思 黄金树→dlc且差点意思  既然不能让所有人满意 那就让所有人都不满意  真是戏剧性拉满的一届 ,来自四川
Fri Dec 13 12:24:27 +0800 2024,5.1111E+15,你是说，你早上八点多就到了公司开电脑，看了快四个小时直播，到现在中午饭都没吃，就为了看山寨马里奥的4399小机器人拿年度游戏大奖对吧,来自辽宁
Fri Dec 13 13:41:15 +0800 2024,5.11112E+15,[偷笑][偷笑][偷笑] http://t.cn/A6mRZRhU,来自江苏
Fri Dec 13 12:49:46 +0800 2024,5.1111E+15,评论太乐了，今天我能刷一天,来自广东
Fri Dec 13 12:30:19 +0800 2024,5.1111E+15,索尼奖  装都不装了 哪怕换个小丑牌也有说服力,来自上海
Fri Dec 13 12:34:21 +0800 2024,5.1111E+15,其实我感觉还可以呀，给法环的话只会骂的更惨，还不如给小机器人，全部人去骂tga得了[doge][doge][doge],来自广东
Fri Dec 13 12:29:40 +0800 2024,5.1111E+15,你不如直接颁给手柄,来自北京
Fri Dec 13 12:32:50 +0800 2024,5.1111E+15,颁奖发言听着就感觉不对劲了，搁那点谁呢，卖不好不应该反思自己是不是垃圾吗？[微笑]自己玩去吧,来自湖北
Fri Dec 13 12:13:37 +0800 2024,5.11109E+15,星鸣特工才是年底第一,来自江苏
Fri Dec 13 12:30:34 +0800 2024,5.1111E+15,这是不是有史以来销量最低的年度最佳游戏啊,来自天津
Fri Dec 13 12:11:32 +0800 2024,5.11109E+15,未获奖也能开个Tag啊[哆啦A梦害怕],来自上海
Fri Dec 13 12:28:19 +0800 2024,5.1111E+15,[允悲]救命🆘//@小CheNg想食鸡煲:太可怕了，猴粉要去网暴机器人粉丝了，但他们找不到机器人粉丝,来自山东
Fri Dec 13 16:50:56 +0800 2024,5.11116E+15,《高斯肯定是最伟大的数学家啊》 《笛卡尔也实至名归》 《黎曼也能算最伟大的数学家吗》 《我测！姜萍？》,来自甘肃
Fri Dec 13 12:33:47 +0800 2024,5.1111E+15,在yes or no ? 之间选择了?,来自广东
Fri Dec 13 12:29:53 +0800 2024,5.1111E+15,Tga告诉我们，玩家怎么觉得不重要，媒体的话语权更重要。,来自福建
Fri Dec 13 12:11:49 +0800 2024,5.11109E+15,不管怎样来抽个奖吧[鲜花][鲜花][爱你][爱你],来自湖南
Fri Dec 13 12:08:35 +0800 2024,5.11109E+15,goty里有比小机器人流程更短的吗[允悲],来自北京
Fri Dec 13 12:07:53 +0800 2024,5.11109E+15,幽默,来自北京
Fri Dec 13 16:37:44 +0800 2024,5.11116E+15,三英战吕布，马赢了,来自吉林
Fri Dec 13 13:56:08 +0800 2024,5.11112E+15,三英战吕布，马赢了,来自吉林
Fri Dec 13 12:44:13 +0800 2024,5.1111E+15,卖得好不等于质量好，经典的教玩家玩游戏是吧,来自广东
Fri Dec 13 12:26:47 +0800 2024,5.1111E+15,不是哥们~最窝火不该是老任家的吗？[太开心],来自广东
Fri Dec 13 12:22:38 +0800 2024,5.1111E+15,"""yes or no"" ->""or""",来自四川
Fri Dec 13 12:16:00 +0800 2024,5.11109E+15,？,来自吉林
Fri Dec 13 12:12:19 +0800 2024,5.11109E+15,让人想起2020年,来自江苏
Fri Dec 13 12:10:18 +0800 2024,5.11109E+15,真是拉了坨大的[疑问][疑问],来自海南
Fri Dec 13 12:38:14 +0800 2024,5.1111E+15,阿发就是现在的我 http://t.cn/A6mRhy6O,来自四川
Fri Dec 13 12:28:59 +0800 2024,5.1111E+15,笑死，两个成年人打架选择了一旁吃瓜的小孩子,来自浙江
Fri Dec 13 12:23:11 +0800 2024,5.1111E+15,这下子野鸡了，明年不看就,来自广东
Fri Dec 13 12:09:32 +0800 2024,5.11109E+15,给我整笑了 哈哈哈哈哈哈哈 ,来自陕西
Sun Dec 15 19:46:58 +0800 2024,5.11193E+15,这不是颁奖是你不知道的游戏推荐环节[允悲],来自浙江
Sat Dec 14 16:32:52 +0800 2024,5.11152E+15,[打call],来自天津
Sat Dec 14 11:39:56 +0800 2024,5.11145E+15,哈哈,来自江苏
Sat Dec 14 09:34:41 +0800 2024,5.11142E+15,三英战吕布最后 MVP 居然是戟把。黑猴震动反馈差，你也不是来挑震动棒的啊。,来自江苏
Fri Dec 13 23:20:02 +0800 2024,5.11126E+15,[浪],来自四川
Fri Dec 13 21:30:18 +0800 2024,5.11123E+15,明年颁给马里奥奥德赛2得了,来自陕西
Fri Dec 13 18:50:01 +0800 2024,5.11119E+15,离谱,来自山东
Fri Dec 13 15:49:06 +0800 2024,5.11115E+15,？？？这是个啥呀？？？,来自浙江
Fri Dec 13 15:39:58 +0800 2024,5.11115E+15,你颁给其他哪一个都合理，搞抽象是吧[允悲],来自马来西亚
Fri Dec 13 15:06:42 +0800 2024,5.11114E+15,不是，小机器人拿最佳家庭和年度最佳都很难绷啊，虽然作为ps玩家小机器人搭配手柄是个好玩且有些创意的游戏，但你这奖颁得合适吗我请问呢[费解],来自福建
Fri Dec 13 14:14:54 +0800 2024,5.11112E+15,太公分猪肉-人人有份[笑而不语],来自广东
Fri Dec 13 13:17:45 +0800 2024,5.11111E+15,太泥巴扯淡了,来自黑龙江
Fri Dec 13 12:54:59 +0800 2024,5.1111E+15,拉了坨大的,来自湖南
Fri Dec 13 12:34:06 +0800 2024,5.1111E+15,？,来自陕西
Fri Dec 13 12:32:28 +0800 2024,5.1111E+15,哈哈哈哈一个150万销量且没上PC端的游戏年度最佳,来自四川
Fri Dec 13 12:32:02 +0800 2024,5.1111E+15,太特么抽象了[允悲],来自福建
Fri Dec 13 12:31:47 +0800 2024,5.1111E+15,端水大师为了谁都不得罪把谁都得罪了是吧？[笑cry][笑cry][笑cry],来自江西
Fri Dec 13 12:31:33 +0800 2024,5.1111E+15,就差直接颁个奖给星鸣特攻了,来自福建
Fri Dec 13 12:30:28 +0800 2024,5.1111E+15,看画风还挺可爱,来自北京
Fri Dec 13 12:29:19 +0800 2024,5.1111E+15,“销量不是决定一个游戏的标准”真踏🐎有你的，乐子tga = the game awful！,来自河北
Fri Dec 13 12:27:07 +0800 2024,5.1111E+15,人在无语的时候…真的会笑[允悲],来自安徽
Fri Dec 13 12:26:46 +0800 2024,5.1111E+15,太抽象了,来自上海
Fri Dec 13 12:26:45 +0800 2024,5.1111E+15,转发微博 http://t.cn/A6mRPMdF,来自广西
Fri Dec 13 12:24:12 +0800 2024,5.1111E+15,嘿，这游戏真有两把刷子，恭喜啦！俺老孙也想耍耍看。,来自北京
Fri Dec 13 12:22:07 +0800 2024,5.1111E+15,太可怕了，猴批ff批环批阿特拉斯凯子要去网暴机器人粉丝了，但他们找不到机器人粉丝,来自北京
Fri Dec 13 12:21:21 +0800 2024,5.1111E+15,年度幽默游戏,来自海南
Fri Dec 13 12:20:52 +0800 2024,5.1111E+15,抽象,来自北京
Fri Dec 13 12:20:32 +0800 2024,5.1111E+15,乐子[可爱],来自山东
Fri Dec 13 12:20:23 +0800 2024,5.1111E+15,老任:互联网是有记忆的[二哈],来自广东
Fri Dec 13 12:19:28 +0800 2024,5.1111E+15,整无语了[忍冬],来自上海
Fri Dec 13 12:18:57 +0800 2024,5.1111E+15,神金 浪费一上午,来自湖南
Fri Dec 13 12:18:09 +0800 2024,5.1111E+15,笑话,来自陕西
Fri Dec 13 12:17:07 +0800 2024,5.11109E+15,[微笑]就为了打boos，硬给主角开挂，然后被边上的小怪捡漏,来自四川
Fri Dec 13 12:16:50 +0800 2024,5.11109E+15,fuck tga！,来自山东
Fri Dec 13 12:15:48 +0800 2024,5.11109E+15,幽默,来自四川
Fri Dec 13 12:15:34 +0800 2024,5.11109E+15,任天堂出一个奥德赛的DLC不稳拿年度[doge],来自山东
Fri Dec 13 12:15:16 +0800 2024,5.11109E+15,短板过于明显加有政治正确问题，不给也正常，还是挺可惜的,来自广东
Fri Dec 13 12:13:43 +0800 2024,5.11109E+15,真得忍不住骂了[苦涩][苦涩][苦涩],来自北京
Fri Dec 13 12:12:09 +0800 2024,5.11109E+15,@迷惑行為大賞,来自湖北
Fri Dec 13 12:10:54 +0800 2024,5.11109E+15,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,来自河南
Fri Dec 13 12:07:47 +0800 2024,5.11109E+15,笑话,来自北京
Fri Dec 13 12:04:56 +0800 2024,5.11109E+15,笑死,来自山东
Fri Dec 13 12:04:33 +0800 2024,5.11109E+15,乐[笑哈哈],来自广西
Fri Dec 13 12:04:31 +0800 2024,5.11109E+15,我在厕所笑喷了,来自重庆
Fri Dec 13 13:59:05 +0800 2024,5.11112E+15,tga的t是taffy的t[doge] http://t.cn/A6mRw098,来自辽宁
Fri Dec 13 13:48:25 +0800 2024,5.11112E+15,猴奈我何 http://t.cn/A6mRwzsH,来自广东
Fri Dec 13 13:46:22 +0800 2024,5.11112E+15,三英战吕布，马赢了,来自江苏
Fri Dec 13 12:51:46 +0800 2024,5.1111E+15,有一种陈奕迅大战周杰伦然后你们的海来阿木夺冠的味道,来自福建
Fri Dec 13 12:15:45 +0800 2024,5.11109E+15,这震撼程度不亚于巴黎奥运会的开幕式[淡淡的][淡淡的][淡淡的],来自广东
Fri Dec 13 12:15:43 +0800 2024,5.11109E+15,充钱获得年度,来自广东
Fri Dec 13 12:15:06 +0800 2024,5.11109E+15,tga明年可以不用来中国了[二哈]这个没有只有含s量的奖项,来自上海
Sat Dec 14 12:38:03 +0800 2024,5.11146E+15,参赛选手：史泰龙、李小龙、成龙。 获奖选手：奶龙,来自四川
Sat Dec 14 07:06:29 +0800 2024,5.11138E+15,几十年后可能会得出这是个好游戏，也是最好的选择的结论[doge] 当年的政治正确下，阿甘正传获奖也是最好的选择吧。,来自湖南
Sat Dec 14 01:02:45 +0800 2024,5.11129E+15,索尼罪大滔天，弄得玩家怨声载道[doge] http://t.cn/A6mEanrS,来自广东
Fri Dec 13 12:31:38 +0800 2024,5.1111E+15,悟空和沙鲁对决，最后撒旦赢了。,来自天津
Fri Dec 13 12:30:35 +0800 2024,5.1111E+15,这么抽象吗？？？[允悲][允悲]a or b？选 or,来自山西
Fri Dec 13 12:29:36 +0800 2024,5.1111E+15,为了玩家群体间的和谐…TGA选择自己做鸡.,来自广东
Fri Dec 13 12:28:39 +0800 2024,5.1111E+15,给奥德赛补个年度最佳[微笑],来自山东
Fri Dec 13 12:28:00 +0800 2024,5.1111E+15,图片评论 http://t.cn/A6mRPaZi,来自广东
Fri Dec 13 12:21:42 +0800 2024,5.1111E+15,且不论给不给黑猴，给小机器人是否真的有点太幽默了，这就像是奥斯卡给了奶龙，格莱美选了海来阿木，金球奖给了武磊。你是好游戏，但你跟能代表2024年的“年度游戏”这事就不搭尬呀。能给小机器人难道不能给黄金树和暗喻幻想？这俩兄弟招谁惹谁了。,来自陕西
Fri Dec 13 12:08:50 +0800 2024,5.11109E+15,就这[挖鼻],来自四川
Fri Dec 13 12:05:20 +0800 2024,5.11109E+15,颁奖前叠加叠了半天[允悲],来自浙江
Fri Dec 13 12:05:00 +0800 2024,5.11109E+15,6,来自广东
Fri Dec 13 12:04:22 +0800 2024,5.11109E+15,太抽象了,来自浙江
Mon Dec 16 11:49:27 +0800 2024,5.11218E+15,//@BOL96:还发言说，卖的好不代表质量好，典型教粉丝玩游戏[允悲]//@西瓜刀勇士:tga证明了自己的含金量[可爱],来自辽宁
Mon Dec 16 11:49:15 +0800 2024,5.11217E+15,//@逛垃圾场:回复 @BOL96:只能祝索尼以后的游戏都是这种销量差，的“高质量”游戏[笑哈哈][笑哈哈][笑哈哈]//@西瓜刀勇士:tga证明了自己的含金量[可爱],来自辽宁
Mon Dec 16 09:54:38 +0800 2024,5.11215E+15,最搞笑的是很多人都没听过宇宙机器人这个游戏，然后想找人对线都找不到,来自辽宁
Sun Dec 15 12:07:57 +0800 2024,5.11182E+15,竟被预言中了😂 http://t.cn/A6mm1n2G,来自广东
Sat Dec 14 09:48:24 +0800 2024,5.11142E+15,和奥斯卡一样成为笑话了,来自广东
Sat Dec 14 09:10:20 +0800 2024,5.11141E+15,一句话总结：不如黑神话，老头环和最终幻想[微笑],来自辽宁
Sat Dec 14 09:06:47 +0800 2024,5.11141E+15,在 a or b?之间既没有选择a也没有选择b，甚至没有选择or，选了个?,来自广东
Sat Dec 14 07:54:18 +0800 2024,5.11139E+15,[笑而不语][笑而不语][笑而不语]不如颁给星鸣特攻[笑而不语][笑而不语][笑而不语],来自浙江
Sat Dec 14 07:25:33 +0800 2024,5.11138E+15,[泪],来自山东
Sat Dec 14 06:19:29 +0800 2024,5.11137E+15,[鼓掌],来自湖南
Sat Dec 14 00:42:05 +0800 2024,5.11128E+15,[doge],来自天津
